,time,status
0,0.0,unsure
1,0.05,unsure
2,0.1,unsure
3,0.15,unsure
4,0.2,unsure
5,0.25,unsure
6,0.3,unsure
7,0.35,unsure
8,0.4,unsure
9,0.45,unsure
10,0.5,unsure
11,0.55,unsure
12,0.6,unsure
13,0.65,unsure
14,0.7,unsure
15,0.75,unsure
16,0.8,unsure
17,0.85,unsure
18,0.9,unsure
19,0.95,unsure
20,1.0,unsure
21,1.05,unsure
22,1.1,unsure
23,1.15,unsure
24,1.2,unsure
25,1.25,unsure
26,1.3,unsure
27,1.35,unsure
28,1.4,unsure
29,1.45,unsure
30,1.5,unsure
31,1.55,unsure
32,1.6,unsure
33,1.65,unsure
34,1.7,unsure
35,1.75,unsure
36,1.8,unsure
37,1.85,unsure
38,1.9,unsure
39,1.95,unsure
40,2.0,unsure
41,2.05,unsure
42,2.1,unsure
43,2.15,unsure
44,2.2,unsure
45,2.25,unsure
46,2.3,unsure
47,2.35,unsure
48,2.4,unsure
49,2.45,unsure
50,2.5,unsure
51,2.55,unsure
52,2.6,unsure
53,2.65,unsure
54,2.7,unsure
55,2.75,unsure
56,2.8,unsure
57,2.85,unsure
58,2.9,unsure
59,2.95,unsure
60,3.0,unsure
61,3.05,unsure
62,3.1,green
63,3.15,green
64,3.2,green
65,3.25,green
66,3.3,green
67,3.35,green
68,3.4,green
69,3.45,green
70,3.5,green
71,3.55,green
72,3.6,green
73,3.65,green
74,3.7,green
75,3.75,green
76,3.8,green
77,3.85,green
78,3.9,green
79,3.95,green
80,4.0,green
81,4.05,green
82,4.1,green
83,4.15,green
84,4.2,green
85,4.25,green
86,4.3,green
87,4.35,green
88,4.4,green
89,4.45,green
90,4.5,green
91,4.55,green
92,4.6,green
93,4.65,green
94,4.7,green
95,4.75,green
96,4.8,green
97,4.85,green
98,4.9,green
99,4.95,green
100,5.0,green
101,5.05,green
102,5.1,green
103,5.15,green
104,5.2,green
105,5.25,green
106,5.3,green
107,5.35,green
108,5.4,green
109,5.45,green
110,5.5,green
111,5.55,green
112,5.6,green
113,5.65,green
114,5.7,green
115,5.75,green
116,5.8,green
117,5.85,green
118,5.9,green
119,5.95,green
120,6.0,green
121,6.05,green
122,6.1,green
123,6.15,green
124,6.2,green
125,6.25,green
126,6.3,green
127,6.35,green
128,6.4,green
129,6.45,green
130,6.5,green
131,6.55,green
132,6.6,green
133,6.65,green
134,6.7,green
135,6.75,green
136,6.8,green
137,6.85,green
138,6.9,green
139,6.95,green
140,7.0,green
141,7.05,green
142,7.1,green
143,7.15,green
144,7.2,green
145,7.25,green
146,7.3,green
147,7.35,green
148,7.4,green
149,7.45,green
150,7.5,green
151,7.55,green
152,7.6,green
153,7.65,green
154,7.7,green
155,7.75,green
156,7.8,green
157,7.85,green
158,7.9,green
159,7.95,green
160,8.0,green
161,8.05,green
162,8.1,green
163,8.15,green
164,8.2,green
165,8.25,green
166,8.3,green
167,8.35,green
168,8.4,green
169,8.45,green
170,8.5,green
171,8.55,green
172,8.6,green
173,8.65,green
174,8.7,green
175,8.75,green
176,8.8,green
177,8.85,green
178,8.9,green
179,8.95,green
180,9.0,green
181,9.05,green
182,9.1,green
183,9.15,green
184,9.2,green
185,9.25,green
186,9.3,green
187,9.35,green
188,9.4,green
189,9.45,green
190,9.5,green
191,9.55,green
192,9.6,green
193,9.65,green
194,9.7,green
195,9.75,green
196,9.8,green
197,9.85,green
198,9.9,green
199,9.95,green
200,10.0,green
201,10.05,green
202,10.1,green
203,10.15,green
204,10.2,green
205,10.25,green
206,10.3,green
207,10.35,green
208,10.4,green
209,10.45,green
210,10.5,green
211,10.55,green
212,10.6,green
213,10.65,green
214,10.7,green
215,10.75,green
216,10.8,green
217,10.85,green
218,10.9,green
219,10.95,green
220,11.0,green
221,11.05,green
222,11.1,green
223,11.15,green
224,11.2,green
225,11.25,green
226,11.3,green
227,11.35,green
228,11.4,green
229,11.45,green
230,11.5,green
231,11.55,green
232,11.6,green
233,11.65,green
234,11.7,green
235,11.75,green
236,11.8,green
237,11.85,green
