,time,status
0,0.0,unsure
1,0.05,unsure
2,0.1,unsure
3,0.15,unsure
4,0.2,unsure
5,0.25,unsure
6,0.3,unsure
7,0.35,unsure
8,0.4,unsure
9,0.45,unsure
10,0.5,unsure
11,0.55,unsure
12,0.6,unsure
13,0.65,unsure
14,0.7,unsure
15,0.75,unsure
16,0.8,unsure
17,0.85,unsure
18,0.9,unsure
19,0.95,unsure
20,1.0,unsure
21,1.05,unsure
22,1.1,unsure
23,1.15,unsure
24,1.2,unsure
25,1.25,unsure
26,1.3,unsure
27,1.35,unsure
28,1.4,unsure
29,1.45,unsure
30,1.5,unsure
31,1.55,unsure
32,1.6,unsure
33,1.65,unsure
34,1.7,unsure
35,1.75,unsure
36,1.8,unsure
37,1.85,unsure
38,1.9,unsure
39,1.95,unsure
40,2.0,unsure
41,2.05,unsure
42,2.1,unsure
43,2.15,unsure
44,2.2,unsure
45,2.25,unsure
46,2.3,unsure
47,2.35,unsure
48,2.4,unsure
49,2.45,unsure
50,2.5,unsure
51,2.55,unsure
52,2.6,unsure
53,2.65,green
54,2.7,green
55,2.75,green
56,2.8,green
57,2.85,green
58,2.9,green
59,2.95,green
60,3.0,green
61,3.05,green
62,3.1,green
63,3.15,green
64,3.2,green
65,3.25,green
66,3.3,green
67,3.35,green
68,3.4,green
69,3.45,green
70,3.5,green
71,3.55,green
72,3.6,green
73,3.65,green
74,3.7,green
75,3.75,green
76,3.8,green
77,3.85,green
78,3.9,green
79,3.95,green
80,4.0,green
81,4.05,green
82,4.1,green
83,4.15,green
84,4.2,green
85,4.25,green
86,4.3,green
87,4.35,green
88,4.4,green
89,4.45,green
90,4.5,green
91,4.55,green
92,4.6,green
93,4.65,green
94,4.7,green
95,4.75,green
96,4.8,green
97,4.85,green
98,4.9,green
99,4.95,green
100,5.0,green
101,5.05,green
102,5.1,green
103,5.15,green
104,5.2,green
105,5.25,green
106,5.3,green
107,5.35,green
108,5.4,green
109,5.45,green
110,5.5,green
111,5.55,green
112,5.6,green
113,5.65,green
114,5.7,green
115,5.75,green
116,5.8,green
117,5.85,green
118,5.9,green
119,5.95,green
120,6.0,green
121,6.05,green
122,6.1,green
123,6.15,green
124,6.2,green
125,6.25,green
126,6.3,green
127,6.35,green
128,6.4,green
129,6.45,green
130,6.5,green
131,6.55,green
132,6.6,green
133,6.65,green
134,6.7,green
135,6.75,green
136,6.8,green
137,6.85,green
138,6.9,green
139,6.95,green
140,7.0,green
141,7.05,green
142,7.1,green
143,7.15,green
144,7.2,green
145,7.25,green
146,7.3,green
147,7.35,green
148,7.4,unsure
149,7.45,unsure
150,7.5,unsure
151,7.55,unsure
152,7.6,unsure
153,7.65,unsure
154,7.7,unsure
155,7.75,unsure
156,7.8,unsure
157,7.85,unsure
158,7.9,unsure
159,7.95,unsure
160,8.0,unsure
161,8.05,unsure
162,8.1,unsure
163,8.15,unsure
164,8.2,unsure
165,8.25,unsure
166,8.3,unsure
167,8.35,unsure
168,8.4,unsure
169,8.45,unsure
170,8.5,unsure
171,8.55,unsure
172,8.6,unsure
173,8.65,unsure
174,8.7,unsure
175,8.75,unsure
176,8.8,red
177,8.85,red
178,8.9,red
179,8.95,red
180,9.0,red
181,9.05,red
182,9.1,red
183,9.15,red
184,9.2,red
185,9.25,red
186,9.3,red
187,9.35,red
188,9.4,red
189,9.45,red
