,time,status
0,0.0,unsure
1,0.05,unsure
2,0.1,unsure
3,0.15,unsure
4,0.2,unsure
5,0.25,unsure
6,0.3,unsure
7,0.35,unsure
8,0.4,unsure
9,0.45,unsure
10,0.5,unsure
11,0.55,unsure
12,0.6,unsure
13,0.65,unsure
14,0.7,unsure
15,0.75,unsure
16,0.8,unsure
17,0.85,unsure
18,0.9,unsure
19,0.95,unsure
20,1.0,unsure
21,1.05,unsure
22,1.1,unsure
23,1.15,unsure
24,1.2,unsure
25,1.25,unsure
26,1.3,unsure
27,1.35,unsure
28,1.4,unsure
29,1.45,unsure
30,1.5,unsure
31,1.55,unsure
32,1.6,unsure
33,1.65,unsure
34,1.7,unsure
35,1.75,red
36,1.8,red
37,1.85,red
38,1.9,red
39,1.95,red
40,2.0,red
41,2.05,red
42,2.1,red
43,2.15,unsure
44,2.2,unsure
45,2.25,red
46,2.3,red
47,2.35,red
48,2.4,red
49,2.45,red
50,2.5,red
51,2.55,red
52,2.6,red
53,2.65,red
54,2.7,red
55,2.75,red
56,2.8,red
57,2.85,red
58,2.9,red
59,2.95,red
60,3.0,red
61,3.05,red
62,3.1,red
63,3.15,red
64,3.2,red
65,3.25,red
66,3.3,red
67,3.35,red
68,3.4,red
69,3.45,red
70,3.5,red
71,3.55,red
72,3.6,red
73,3.65,red
74,3.7,red
75,3.75,red
76,3.8,red
77,3.85,red
78,3.9,red
79,3.95,red
80,4.0,red
81,4.05,red
82,4.1,red
83,4.15,red
84,4.2,red
85,4.25,red
86,4.3,red
87,4.35,red
88,4.4,red
89,4.45,red
90,4.5,red
91,4.55,red
